iter	Passed	Remaining
406	6265	9128
407	6280	9112
408	6295	9097
409	6310	9081
410	6325	9064
411	6340	9048
412	6355	9033
413	6371	9018
414	6386	9002
415	6401	8986
416	6416	8971
417	6431	8955
418	6446	8939
419	6462	8924
420	6477	8908
421	6492	8892
422	6507	8876
423	6522	8861
424	6538	8845
425	6552	8829
426	6567	8813
427	6582	8797
428	6598	8781
429	6612	8765
430	6627	8749
431	6642	8733
432	6657	8717
433	6671	8701
434	6686	8685
435	6701	8668
436	6716	8652
437	6731	8637
438	6746	8621
439	6761	8605
440	6776	8590
441	6791	8574
442	6806	8558
443	6821	8542
444	6836	8525
445	6851	8510
446	6866	8494
447	6881	8478
448	6896	8462
449	6910	8446
450	6926	8431
451	6941	8415
452	6956	8400
453	6972	8384
454	6986	8368
455	7001	8352
456	7016	8336
457	7031	8321
458	7046	8305
459	7061	8289
460	7075	8273
461	7091	8257
462	7105	8241
463	7121	8226
464	7135	8210
465	7151	8194
466	7166	8179
467	7181	8163
468	7196	8147
469	7213	8133
470	7229	8119
471	7246	8105
472	7265	8094
473	7280	8079
474	7295	8063
475	7311	8048
476	7326	8033
477	7341	8017
478	7356	8002
479	7372	7986
480	7387	7971
481	7402	7955
482	7417	7939
483	7432	7923
484	7447	7907
485	7463	7893
486	7479	7879
487	7495	7864
488	7510	7848
489	7526	7833
490	7541	7818
491	7556	7802
492	7572	7787
493	7587	7771
494	7602	7755
495	7617	7740
496	7632	7724
497	7647	7708
498	7662	7693
499	7677	7677
500	7692	7661
501	7707	7645
502	7722	7630
503	7737	7614
504	7752	7598
505	7767	7583
506	7782	7567
507	7796	7551
508	7811	7535
509	7826	7519
510	7841	7504
511	7857	7488
512	7872	7473
513	7887	7458
514	7902	7442
515	7917	7426
516	7932	7411
517	7947	7395
518	7962	7379
519	7977	7364
520	7993	7348
521	8007	7332
522	8022	7317
523	8037	7301
524	8052	7285
525	8067	7269
526	8082	7254
527	8097	7238
528	8112	7223
529	8127	7207
530	8142	7191
531	8157	7175
532	8172	7160
533	8187	7144
534	8202	7129
535	8217	7114
536	8232	7098
537	8247	7082
538	8263	7067
539	8285	7057
540	8300	7042
541	8314	7026
542	8329	7010
543	8344	6994
544	8359	6978
545	8374	6963
546	8390	6948
547	8405	6933
548	8420	6917
549	8435	6901
550	8450	6885
551	8465	6870
552	8479	6854
553	8494	6838
554	8509	6822
555	8523	6806
556	8539	6791
557	8554	6775
558	8569	6760
559	8583	6744
560	8598	6728
561	8613	6712
562	8628	6697
563	8643	6682
564	8658	6666
565	8674	6651
566	8689	6635
567	8704	6620
568	8719	6604
569	8734	6589
570	8749	6573
571	8764	6558
572	8779	6542
573	8795	6527
574	8809	6511
575	8824	6496
576	8839	6480
577	8855	6465
578	8870	6449
579	8884	6433
580	8899	6418
581	8914	6402
582	8929	6386
583	8943	6371
584	8958	6355
585	8974	6340
586	8989	6324
587	9004	6309
588	9019	6293
589	9034	6278
590	9049	6262
591	9065	6247
592	9080	6232
593	9094	6216
594	9109	6200
595	9124	6185
596	9140	6169
597	9154	6154
598	9169	6138
599	9184	6122
600	9199	6107
601	9214	6092
602	9229	6076
603	9245	6061
604	9260	6046
605	9275	6030
606	9290	6015
607	9305	5999
608	9320	5984
609	9335	5968
610	9350	5952
611	9364	5937
612	9380	5921
613	9394	5906
614	9409	5890
615	9423	5874
616	9439	5859
617	9454	5843
618	9469	5828
619	9484	5812
620	9498	5797
621	9514	5781
622	9529	5766
623	9544	5750
624	9558	5735
625	9574	5719
626	9588	5704
627	9604	5689
628	9618	5673
629	9633	5657
630	9648	5642
631	9663	5626
632	9678	5611
633	9694	5596
634	9709	5581
635	9724	5565
636	9738	5549
637	9753	5534
638	9768	5518
639	9783	5503
640	9798	5487
641	9813	5472
642	9829	5457
643	9844	5441
644	9859	5426
645	9873	5410
646	9888	5395
647	9903	5379
648	9918	5364
649	9933	5348
650	9948	5333
651	9963	5318
652	9978	5302
653	9993	5287
654	10008	5271
655	10023	5256
656	10037	5240
657	10052	5224
658	10067	5209
659	10083	5194
660	10097	5178
661	10114	5164
662	10129	5148
663	10144	5133
664	10159	5117
665	10174	5102
666	10188	5086
667	10204	5071
668	10218	5055
669	10233	5040
670	10248	5025
671	10264	5010
672	10279	4994
673	10294	4979
674	10316	4967
675	10331	4951
676	10346	4936
677	10361	4920
678	10376	4905
679	10391	4890
680	10406	4874
681	10421	4859
682	10436	4843
683	10451	4828
684	10466	4813
685	10481	4797
686	10496	4782
687	10511	4766
688	10526	4751
689	10540	4735
690	10556	4720
691	10571	4705
692	10586	4689
693	10603	4675
694	10619	4660
695	10637	4646
696	10652	4630
697	10667	4615
698	10682	4600
699	10697	4584
700	10712	4569
701	10727	4553
702	10742	4538
703	10757	4523
704	10772	4507
705	10787	4492
706	10802	4476
707	10817	4461
708	10832	4446
709	10848	4430
710	10862	4415
711	10877	4400
712	10892	4384
713	10907	4369
714	10922	4353
715	10937	4338
716	10952	4322
717	10967	4307
718	10982	4292
719	10997	4276
720	11012	4261
721	11027	4246
722	11042	4230
723	11058	4215
724	11072	4200
725	11087	4184
726	11102	4169
727	11117	4153
728	11132	4138
729	11147	4123
730	11163	4107
731	11178	4092
732	11193	4077
733	11208	4061
734	11223	4046
735	11238	4031
736	11253	4015
737	11268	4000
738	11283	3985
739	11298	3969
740	11313	3954
741	11329	3939
742	11343	3923
743	11358	3908
744	11373	3892
745	11388	3877
746	11403	3862
747	11417	3846
748	11432	3831
749	11448	3816
750	11463	3800
751	11478	3785
752	11493	3770
753	11508	3754
754	11523	3739
755	11538	3724
756	11554	3708
757	11568	3693
758	11583	3678
759	11598	3662
760	11613	3647
761	11630	3632
762	11645	3617
763	11661	3602
764	11676	3586
765	11691	3571
766	11706	3556
767	11720	3540
768	11735	3525
769	11750	3509
770	11765	3494
771	11780	3479
772	11795	3463
773	11810	3448
774	11825	3433
775	11840	3417
776	11857	3403
777	11873	3388
778	11889	3373
779	11906	3358
780	11923	3343
781	11939	3328
782	11954	3313
783	11969	3297
784	11984	3282
785	11999	3266
786	12014	3251
787	12029	3236
788	12044	3221
789	12060	3205
790	12074	3190
791	12089	3175
792	12105	3159
793	12120	3144
794	12134	3129
795	12149	3113
796	12165	3098
797	12179	3083
798	12194	3067
799	12211	3052
800	12227	3037
801	12244	3023
802	12268	3009
803	12290	2996
804	12307	2981
805	12322	2966
806	12344	2952
807	12359	2936
808	12374	2921
809	12389	2906
810	12404	2890
811	12419	2875
812	12434	2860
813	12449	2844
814	12464	2829
815	12479	2814
816	12494	2798
817	12509	2783
818	12524	2767
819	12540	2752
820	12555	2737
821	12569	2721
822	12585	2706
823	12600	2691
824	12615	2675
825	12630	2660
826	12644	2645
827	12660	2629
828	12674	2614
829	12689	2599
830	12704	2583
831	12719	2568
832	12734	2553
833	12749	2537
834	12765	2522
835	12780	2507
836	12795	2491
837	12811	2476
838	12826	2461
839	12841	2445
840	12855	2430
841	12870	2415
842	12886	2399
843	12900	2384
844	12916	2369
845	12931	2353
846	12946	2338
847	12962	2323
848	12977	2308
849	12991	2292
850	13006	2277
851	13021	2261
852	13036	2246
853	13051	2231
854	13066	2215
855	13081	2200
856	13096	2185
857	13111	2169
858	13126	2154
859	13141	2139
860	13157	2124
861	13171	2108
862	13187	2093
863	13202	2078
864	13217	2062
865	13232	2047
866	13247	2032
867	13262	2016
868	13277	2001
869	13292	1986
870	13307	1970
871	13322	1955
872	13337	1940
873	13351	1924
874	13366	1909
875	13381	1894
876	13396	1878
877	13411	1863
878	13426	1848
879	13441	1832
880	13456	1817
881	13471	1802
882	13486	1786
883	13501	1771
884	13516	1756
885	13531	1741
886	13547	1725
887	13561	1710
888	13576	1695
889	13591	1679
890	13606	1664
891	13621	1649
892	13636	1633
893	13651	1618
894	13666	1603
895	13681	1588
896	13697	1572
897	13714	1557
898	13729	1542
899	13744	1527
900	13759	1511
901	13773	1496
902	13788	1481
903	13804	1465
904	13819	1450
905	13834	1435
906	13849	1420
907	13865	1404
908	13880	1389
909	13895	1374
910	13910	1358
911	13925	1343
912	13940	1328
913	13956	1313
914	13970	1297
915	13985	1282
916	14000	1267
917	14015	1251
918	14030	1236
919	14046	1221
920	14061	1206
921	14076	1190
922	14091	1175
923	14106	1160
924	14120	1144
925	14135	1129
926	14150	1114
927	14166	1099
928	14181	1083
929	14196	1068
930	14211	1053
931	14226	1037
932	14240	1022
933	14257	1007
934	14271	992
935	14287	976
936	14302	961
937	14318	946
938	14333	931
939	14348	915
940	14363	900
941	14385	885
942	14400	870
943	14415	855
944	14430	839
945	14445	824
946	14460	809
947	14475	794
948	14490	778
949	14506	763
950	14521	748
951	14537	732
952	14551	717
953	14566	702
954	14581	687
955	14596	671
956	14611	656
957	14626	641
958	14641	625
959	14656	610
960	14672	595
961	14686	580
962	14702	564
963	14716	549
964	14731	534
965	14747	519
966	14762	503
967	14777	488
968	14792	473
969	14807	457
970	14822	442
971	14837	427
972	14852	412
973	14866	396
974	14881	381
975	14896	366
976	14912	351
977	14926	335
978	14941	320
979	14956	305
980	14971	289
981	14986	274
982	15001	259
983	15016	244
984	15031	228
985	15046	213
986	15060	198
987	15076	183
988	15091	167
989	15106	152
990	15121	137
991	15136	122
992	15151	106
993	15165	91
994	15180	76
995	15195	61
996	15211	45
997	15226	30
998	15241	15
999	15256	0
