iter	Logloss
161	0.5271552194
162	0.5271363607
163	0.5271060239
164	0.527073445
165	0.5270430022
166	0.526945383
167	0.5269152377
168	0.5268893487
169	0.5268647234
170	0.5268446823
171	0.5268226938
172	0.5267668352
173	0.5267489338
174	0.5267139021
175	0.5266969722
176	0.5266751182
177	0.5266576692
178	0.5266378991
179	0.526616596
180	0.5266011446
181	0.5265676692
182	0.5265503724
183	0.526522572
184	0.5264965508
185	0.5264659066
186	0.5264454361
187	0.5264183401
188	0.5263996696
189	0.5263768486
190	0.5263318436
191	0.5262796308
192	0.5262445944
193	0.5262134481
194	0.5261964614
195	0.526150419
196	0.5261208178
197	0.5261026781
198	0.5260775809
199	0.5260509376
200	0.5260175643
201	0.5259915225
202	0.5259516969
203	0.5259356838
204	0.5259215506
205	0.5258918354
206	0.5258611831
207	0.5258417653
208	0.5257684741
209	0.5257454715
210	0.5256926492
211	0.525675143
212	0.5256585723
213	0.5256313403
214	0.5255713753
215	0.5255298013
216	0.525511265
217	0.5254911062
218	0.5254606658
219	0.5254319069
220	0.5254010072
221	0.5253331068
222	0.5252870162
223	0.5252677007
224	0.5252216398
225	0.5251870925
226	0.5251714247
227	0.5251308369
228	0.5251084757
229	0.5250768674
230	0.52505697
231	0.5250117028
232	0.5249729249
233	0.5249519478
234	0.5249311595
235	0.524919769
236	0.5248973712
237	0.5247789656
238	0.5247588069
239	0.5247326529
240	0.5246883633
241	0.5246622891
242	0.5246348035
243	0.5246117953
244	0.5245744882
245	0.5245553883
246	0.5245336973
247	0.5245159426
248	0.5244818282
249	0.5244600375
250	0.5244430359
251	0.5244244462
252	0.5244080373
253	0.524380271
254	0.5243647531
255	0.5243453193
256	0.5242620918
257	0.5242406972
258	0.5242079701
259	0.5241612447
260	0.5241484389
261	0.5241303424
262	0.5240860647
263	0.524038216
264	0.5240100198
265	0.523977536
266	0.5239411324
267	0.5239222198
268	0.523901057
269	0.5238833156
270	0.5238573246
271	0.5238314184
272	0.5237943454
273	0.5237580823
274	0.5237382256
275	0.5236182059
276	0.5235842827
277	0.5234804011
278	0.5234321374
279	0.5233448753
280	0.523329178
281	0.5232906413
282	0.5232496704
283	0.5232246303
284	0.5231754888
285	0.5231507222
286	0.5231198144
287	0.5230944221
288	0.5229935351
289	0.5229742105
290	0.5229478422
291	0.5229288445
292	0.5229004999
293	0.5228669894
294	0.5228343621
295	0.5228113706
296	0.5227604989
297	0.5227286729
298	0.5227030567
299	0.5226805145
300	0.5226434712
301	0.5226213005
302	0.5225695063
303	0.5225548764
304	0.5225234497
305	0.5224940852
306	0.5224683339
307	0.522445067
308	0.5224284343
309	0.5224070979
310	0.5223638667
311	0.5223387763
312	0.5222972216
313	0.5222736278
314	0.5222502012
315	0.5222324021
316	0.522194208
317	0.5220522431
318	0.5220319496
319	0.5220084197
320	0.5218792379
321	0.521860462
322	0.5218400367
323	0.5217967493
324	0.5217627254
325	0.5217388609
326	0.5217006246
327	0.5215965219
328	0.5215728102
329	0.5215533757
330	0.5215307432
331	0.5215022486
332	0.521471014
333	0.5214466993
334	0.5214218695
335	0.5213777751
336	0.5213385566
337	0.5213133156
338	0.5212900136
339	0.5212567292
340	0.5212331222
341	0.5212101627
342	0.5210557055
343	0.5210310223
344	0.5210071562
345	0.5209877706
346	0.5207651596
347	0.5207335262
348	0.5207072312
349	0.5206803595
350	0.5206659669
351	0.520633815
352	0.5206009342
353	0.5205706008
354	0.5205470903
355	0.5204891356
356	0.520464451
357	0.520445511
358	0.5204209311
359	0.520392191
360	0.5203603776
361	0.5202784426
362	0.5202437907
363	0.5202160711
364	0.5201931139
365	0.5201657007
366	0.5201278051
367	0.5200926105
368	0.5200545653
369	0.5200235142
370	0.5199990489
371	0.5199714119
372	0.519951349
373	0.5199167025
374	0.5198701889
375	0.5198489122
376	0.519816043
377	0.5197872831
378	0.5197618816
379	0.5197357312
380	0.5197111735
381	0.5196786045
382	0.5196510393
383	0.5196257991
384	0.5196007745
385	0.5194840262
386	0.519463342
387	0.5194288256
388	0.5194056941
389	0.5193749517
390	0.5193361107
391	0.5192937839
392	0.5192589152
393	0.5192230772
394	0.5191974048
395	0.5191647493
396	0.5191369711
397	0.519091446
398	0.519065126
399	0.5190298468
400	0.5190020825
401	0.5189605903
402	0.5189140111
403	0.518885495
404	0.5188500674
405	0.5188177686
406	0.5187757522
407	0.518733898
408	0.5186927022
409	0.5186568862
410	0.5186292484
411	0.5185713116
412	0.518534557
413	0.5181025163
414	0.5180629599
415	0.5180136818
416	0.5179837892
417	0.5178343822
418	0.5176397478
419	0.5171546505
420	0.5171204846
421	0.5170781958
422	0.516719758
423	0.5166710069
424	0.5166261551
425	0.5165859917
426	0.5165380025
427	0.5165022692
428	0.516466489
429	0.5164168639
430	0.5163738471
431	0.5163280317
432	0.5162734755
433	0.5162331685
434	0.5162031659
435	0.5161396216
436	0.5160984929
437	0.5160495372
438	0.5159755877
439	0.5155884281
440	0.5155375623
441	0.5154984163
442	0.5154666207
443	0.5154160764
444	0.5153833414
445	0.5150652625
446	0.5149993548
447	0.5149590049
448	0.514924168
449	0.5148692388
450	0.5148269063
451	0.5146048704
452	0.5145049436
453	0.5144527788
454	0.5144127808
455	0.514380503
456	0.5143317228
457	0.5138980512
458	0.5138456117
459	0.5137996481
460	0.5137394298
461	0.5136894652
462	0.5136430187
463	0.5136024917
464	0.5135624148
465	0.5135158988
466	0.5134840681
467	0.5134483402
468	0.5134131788
469	0.5132055148
470	0.513157273
471	0.5131189142
472	0.5130796659
473	0.5130406798
474	0.5127158279
475	0.5126720754
476	0.5126167554
477	0.5125860434
478	0.5125469794
479	0.5125129032
480	0.5124618791
481	0.5123992117
482	0.5123641252
483	0.5123022965
484	0.5122702847
485	0.5122321662
486	0.5121928346
487	0.512127218
488	0.5120788731
489	0.5120357954
490	0.5119926516
491	0.5119557626
492	0.5119162523
493	0.511870575
494	0.5118371738
495	0.511801264
496	0.5117634467
497	0.511731027
498	0.511681756
499	0.5116485045
500	0.5116076381
501	0.5115713967
502	0.5115217427
503	0.5114899089
504	0.5112729568
505	0.511233029
506	0.511197688
507	0.5111578812
508	0.5108745825
509	0.5106578472
510	0.5106206268
511	0.5105629239
512	0.5105275744
513	0.5102322617
514	0.5101890999
515	0.5098442155
516	0.509808458
517	0.509767501
518	0.5097228848
519	0.5096819786
520	0.5096465207
521	0.5095974447
522	0.5095608507
523	0.5095265803
524	0.5091566044
525	0.5091252941
526	0.5090930164
527	0.5090324328
528	0.5089984331
529	0.5089567895
530	0.5089202393
531	0.5085548462
532	0.5085200202
533	0.5084835106
534	0.5082745554
535	0.5082402554
536	0.5081930457
537	0.508159344
538	0.5081257508
539	0.508092685
540	0.5080609316
541	0.5080086777
542	0.5079680898
543	0.507922265
544	0.5078912232
545	0.5078592084
546	0.5076449409
547	0.5074812474
548	0.5074483704
549	0.5074165218
550	0.5073782612
551	0.5073391479
552	0.5072784443
553	0.5072471402
554	0.5072137023
555	0.5071837848
556	0.5071512448
557	0.5071176126
558	0.5070881015
559	0.5070520662
560	0.5070229663
561	0.5069625311
562	0.5069289832
563	0.5068946011
564	0.5068565186
565	0.5068236073
566	0.5067921917
567	0.5065682749
568	0.5065364864
569	0.506506376
570	0.5064748114
571	0.5064450382
572	0.5064035718
573	0.5063716318
574	0.5063291293
575	0.5063024964
576	0.5062712306
577	0.5062456042
578	0.506212281
579	0.5061816534
580	0.5061506521
581	0.5061180022
582	0.5060800155
583	0.5060482644
584	0.5060195102
585	0.5059784541
586	0.5057812745
587	0.5057529299
588	0.5056937478
589	0.5056601412
590	0.5056159339
591	0.5055454947
592	0.5055158783
593	0.5054850642
594	0.505456796
595	0.5054189529
596	0.5053912832
597	0.5053617049
598	0.5053339993
599	0.5052963731
600	0.5052646244
601	0.5052330238
602	0.5051846033
603	0.5051559981
604	0.5051160679
605	0.5050882499
606	0.5050603149
607	0.5049602607
608	0.5049317677
609	0.5048719142
610	0.5047155712
611	0.5046837475
612	0.5046538705
613	0.5046286358
614	0.5043361782
615	0.5043062474
616	0.5042461664
617	0.5042165835
618	0.5041789721
619	0.5041250355
620	0.5040940349
621	0.5040588227
622	0.5040312567
623	0.5040011558
624	0.5039756028
625	0.5039515891
626	0.5039232842
627	0.5038938207
628	0.5038670506
629	0.5038379991
630	0.5038120466
631	0.5037744906
632	0.5037447954
633	0.503715619
634	0.5036762653
635	0.5036530826
636	0.503624468
637	0.5035829377
638	0.5035579447
639	0.5035289291
640	0.5035008739
641	0.5034721166
642	0.5034344201
643	0.5034084122
644	0.5033677727
645	0.5033431302
646	0.5033164224
647	0.5031258575
648	0.5031002241
649	0.503070986
650	0.5030193089
651	0.5029712433
652	0.5029420575
653	0.502660699
654	0.5026259386
655	0.5025989703
656	0.5025742209
657	0.5025509859
658	0.5024930691
659	0.5024581223
660	0.5024315049
661	0.5024029793
662	0.5023653516
663	0.5023387406
664	0.5023159387
665	0.5022918423
666	0.5022723485
667	0.5022236148
668	0.5021864155
669	0.5021638975
670	0.5021408279
671	0.5021056049
672	0.5020803748
673	0.5019343354
674	0.5019112658
675	0.5018885449
676	0.5018222477
677	0.5017934826
678	0.5017716808
679	0.5017412134
680	0.5017187283
681	0.5016934241
682	0.5016562231
683	0.5016287742
684	0.5016033529
685	0.5015672552
686	0.5015487515
687	0.5015237947
688	0.501497807
689	0.5014736241
690	0.5014493675
691	0.5014253602
692	0.5014002956
693	0.5013488338
694	0.5012818058
695	0.5012471164
696	0.501219421
697	0.5011915399
698	0.5011700363
699	0.5011467085
700	0.5011221814
701	0.5010993513
702	0.5010771024
703	0.5010515596
704	0.5010273696
705	0.5010030352
706	0.5009748113
707	0.5007477651
708	0.5007228604
709	0.5006998689
710	0.5006771591
711	0.5006394806
712	0.5005941529
713	0.5005560931
714	0.5005321363
715	0.5005077841
716	0.5004804474
717	0.5004573685
718	0.5004292721
719	0.5004073658
720	0.5003829402
721	0.5003569627
722	0.5003323483
723	0.5002992763
724	0.5002637185
725	0.5002413926
726	0.5002141457
727	0.5001871961
728	0.5001630256
729	0.5001293568
730	0.5001076853
731	0.5000685026
732	0.5000440295
733	0.5000200058
734	0.4999938553
735	0.4999642864
736	0.4998980935
737	0.49987321
738	0.4998550785
739	0.4998053324
740	0.4997758144
741	0.4996736685
742	0.4996556814
743	0.4996347145
744	0.4996066844
745	0.4995748062
746	0.4995424433
747	0.49951688
748	0.4994955754
749	0.4994698194
750	0.4994417518
751	0.4993788216
752	0.4993532624
753	0.499331836
754	0.4991407817
755	0.4991139443
756	0.4990897381
757	0.4990538738
758	0.4990320621
759	0.4990055509
760	0.4989819999
761	0.4989529587
762	0.4989309134
763	0.498903069
764	0.4988823067
765	0.4988577438
766	0.498838857
767	0.4988145257
768	0.4987901727
769	0.4987695656
770	0.4987309845
771	0.4986948604
772	0.4986688752
773	0.4986413694
774	0.4986159779
775	0.4985806445
776	0.4985527658
777	0.498346275
778	0.4983225985
779	0.4982962105
780	0.4982749644
781	0.4982380349
782	0.4981975065
783	0.4981739921
784	0.4981545077
785	0.4981313006
786	0.4980960527
787	0.498069033
788	0.4980357613
789	0.4980120779
790	0.4979877106
791	0.4979620415
792	0.4979383198
793	0.4979147471
794	0.497892823
795	0.497846329
796	0.4978229552
797	0.4977988057
798	0.4977739165
799	0.4977465502
800	0.4977056846
801	0.4976794838
802	0.4976486573
803	0.4976227415
804	0.4975983487
805	0.4975719811
806	0.4975457503
807	0.4974858353
808	0.4974654491
809	0.4974462423
810	0.4974282934
811	0.4974033359
812	0.4973745669
813	0.4973189789
814	0.4973015122
815	0.4972808638
816	0.4972576703
817	0.4972385751
818	0.4972184915
819	0.4971917372
820	0.4971723277
821	0.4971504665
822	0.4971236418
823	0.4970957311
824	0.4970312834
825	0.4970068022
826	0.4969807969
827	0.4969535923
828	0.4969389247
829	0.4969172707
830	0.4968942057
831	0.4968719348
832	0.4966802459
833	0.4966568347
834	0.4964483581
835	0.4964222651
836	0.4963981523
837	0.49637499
838	0.4963435346
839	0.4963172273
840	0.496295041
841	0.4962715823
842	0.496226419
843	0.4962057363
844	0.4961590559
845	0.4961324107
846	0.4961066674
847	0.4960866236
848	0.4960593704
849	0.4960247934
850	0.4960033586
851	0.4959778767
852	0.4959565534
853	0.4959076904
854	0.4958824977
855	0.4958445313
856	0.4958099817
857	0.495784201
858	0.4957599897
859	0.4957337047
860	0.4957144331
861	0.4956968183
862	0.4956701854
863	0.4956442924
864	0.4956194368
865	0.4956019574
866	0.4955758871
867	0.4955499292
868	0.4955237145
869	0.4954980999
870	0.495471857
871	0.4954499384
872	0.4954297394
873	0.4954037768
874	0.4953803929
875	0.4953342186
876	0.4953076523
877	0.4952819481
878	0.4952594629
879	0.4952400183
880	0.4952149234
881	0.4951962339
882	0.4951731887
883	0.4951486663
884	0.4951261484
885	0.4951007812
886	0.4950754874
887	0.4950533471
888	0.4950180945
889	0.4949959481
890	0.4949741019
891	0.4949488845
892	0.4949326341
893	0.4949092525
894	0.4948830997
895	0.4948576202
896	0.4948385103
897	0.4946277728
898	0.4945920342
899	0.49457251
900	0.4945455026
901	0.4945206232
902	0.494497354
903	0.4944661452
904	0.4944412429
905	0.4944178988
906	0.494398263
907	0.4943754831
908	0.4943408211
909	0.4943156053
910	0.4942665064
911	0.4942476289
912	0.4942238876
913	0.4941872709
914	0.4941526391
915	0.4941304185
916	0.4940281058
917	0.4939933922
918	0.493967925
919	0.4939456549
920	0.4939207954
921	0.4939055446
922	0.4938512612
923	0.4938287785
924	0.4938031133
925	0.4937815906
926	0.4937624809
927	0.493725592
928	0.4936952601
929	0.4936702674
930	0.4936483016
931	0.4936233097
932	0.4935987672
933	0.4935740367
934	0.4935514424
935	0.493532185
936	0.4935101818
937	0.4934850776
938	0.4934635801
939	0.4934371806
940	0.4934168579
941	0.4933922023
942	0.4933704254
943	0.4933454694
944	0.493323887
945	0.4933014189
946	0.4932796157
947	0.4932554303
948	0.4932388671
949	0.4932144258
950	0.4931902083
951	0.4931714424
952	0.4931495269
953	0.4931278735
954	0.4931082386
955	0.4930735624
956	0.4930161794
957	0.4929916719
958	0.492965948
959	0.4929443795
960	0.4929197621
961	0.492894995
962	0.4928711558
963	0.4928515217
964	0.4928269043
965	0.4928075018
966	0.4927823968
967	0.4925462195
968	0.4925237232
969	0.4925019767
970	0.4924735921
971	0.4924520137
972	0.4924311881
973	0.4924100964
974	0.492386018
975	0.4923611377
976	0.4923433363
977	0.4923187189
978	0.4922964227
979	0.4922776163
980	0.4922597439
981	0.4922353122
982	0.4922108071
983	0.4921936273
984	0.4921748692
985	0.4921505889
986	0.4921256062
987	0.4921012885
988	0.4920800416
989	0.4920552423
990	0.4920337762
991	0.4920197032
992	0.4919980452
993	0.4919765142
994	0.4919611633
995	0.4919347093
996	0.4919007613
997	0.4917595452
998	0.4917069096
999	0.4916785916
